XCS_ID,PY_srccounts,PY_ctrate,PY_ctrate_err,PY_flux,PY_ppoint,IDL_srccounts,IDL_ctrate,IDL_ctrate_err,IDL_flux,IDL_ppoint
1,26.2766,0.000545094,0.000131007,5.45094e-15,0.33,27.27021,0.00057679126,0.000131122,5.7679127e-15,0.12
2,33.9755,0.000320393,5.6956e-05,3.20393e-15,0.82,34.452956,0.00032508288,5.77779e-05,3.2508288e-15,0.735
3,19.3258,0.000203613,4.49574e-05,2.03613e-15,0.845,19.310798,0.00020345624,4.49574e-05,2.0345624e-15,0.79
4,132.793,0.00124587,9.78359e-05,1.24587e-14,0.05,132.05783,0.0012389017,9.78036e-05,1.2389017e-14,0.06
5,22.5555,0.000201074,4.49091e-05,2.01074e-15,0.765,22.356443,0.00019930328,4.49091e-05,1.9930328e-15,0.695
6,101.805,0.000965131,8.52906e-05,9.65131e-15,0.57,101.94554,0.00096646563,8.55862e-05,9.6646565e-15,0.425
7,120.591,0.00120009,9.26626e-05,1.20009e-14,0.045,120.73334,0.0011686634,9.26728e-05,1.1686634e-14,0.045
8,43.5258,0.000450483,6.55784e-05,4.50483e-15,0.805,42.85682,0.0004436638,6.55829e-05,4.4366381e-15,0.82
9,111.21,0.000982098,8.41176e-05,9.82098e-15,0.885,113.20207,0.00099716061,8.48211e-05,9.9716063e-15,0.79
10,31.0021,0.000274462,4.74792e-05,2.74462e-15,0.95,30.717417,0.00026644738,4.74966e-05,2.6644738e-15,0.945
11,116.664,0.00109399,9.20639e-05,1.09399e-14,0.28,120.01816,0.0011254254,9.35514e-05,1.1254254e-14,0.16
12,36.5001,0.000306614,5.29965e-05,3.06614e-15,0.755,35.481095,0.00028511543,5.43365e-05,2.8511543e-15,0.735
13,43.5335,0.000351932,6.40747e-05,3.51932e-15,0.98,45.412561,0.00036154394,6.4403e-05,3.6154395e-15,0.7
14,107.913,0.000747439,6.51512e-05,7.47439e-15,0.985,108.75472,0.00074667803,6.58355e-05,7.4667804e-15,0.96
15,16.6157,0.000139356,3.93406e-05,1.39356e-15,0.755,16.75805,0.00014059022,3.95264e-05,1.4059023e-15,0.71
16,32.6285,0.000239209,4.25672e-05,2.39209e-15,0.535,32.356649,0.00022503324,4.32669e-05,2.2503325e-15,0.01
17,188.069,0.00167201,0.000124709,1.67201e-14,0.23,178.5503,0.0016503027,0.000122269,1.6503027e-14,0.3
18,29.3306,0.000312603,5.8369e-05,3.12603e-15,0.64,29.443119,0.0003138047,5.8369e-05,3.1380471e-15,0.55
19,32.5225,0.000444077,7.64269e-05,4.44077e-15,0.925,32.442094,0.00044495011,7.66577e-05,4.4495012e-15,0.335
20,70.0357,0.000363243,4.78522e-05,3.63243e-15,1.0,71.701652,0.00037189059,4.80856e-05,3.718906e-15,0.995
21,21.9894,0.000200079,4.39006e-05,2.00079e-15,0.285,20.972002,0.00018832639,4.36302e-05,1.8832639e-15,0.49
22,114.964,0.00104557,9.24158e-05,1.04557e-14,0.945,119.4281,0.0010863276,9.44973e-05,1.0863276e-14,0.95
23,63.8493,0.000422146,5.33542e-05,4.22146e-15,0.96,65.938013,0.00043462858,5.45173e-05,4.3462859e-15,0.87
24,349.92,0.00185761,8.42132e-05,1.85761e-14,0.585,349.17897,0.0018536555,8.41823e-05,1.8536556e-14,0.655
25,199.038,0.00166747,9.93735e-05,1.66747e-14,0.1,197.01901,0.0015844943,9.8689e-05,1.5844943e-14,0.345
26,61.9288,0.000905937,0.000128768,9.05937e-15,0.195,64.326059,0.00092636196,0.000130563,9.2636198e-15,0.23
27,76.5744,0.000606609,6.61222e-05,6.06609e-15,0.695,76.849317,0.0006088209,6.61221e-05,6.0882091e-15,0.73
28,116.22,0.00102348,0.000100412,1.02348e-14,0.92,119.48375,0.0010686344,0.000103608,1.0686344e-14,0.865
29,2038.83,0.0249436,0.000432207,2.49436e-13,0.02,2057.279,0.025172136,0.0004346,2.5172137e-13,0.015
30,98.3012,0.000807673,7.94332e-05,8.07673e-15,0.335,100.606,0.00079887924,7.91441e-05,7.9887925e-15,0.47
31,157.474,0.00131082,9.76922e-05,1.31082e-14,0.235,163.63181,0.0013615429,9.97908e-05,1.3615429e-14,0.185
32,33.8914,0.000272226,4.86623e-05,2.72226e-15,0.78,34.228905,0.00027332281,4.87393e-05,2.7332282e-15,0.845
33,88.9379,0.000845453,8.09031e-05,8.45453e-15,0.02,142.63056,0.00097141008,0.000115,9.714101e-15,0.0
34,30.5882,0.000435002,7.72017e-05,4.35002e-15,0.05,34.65692,0.00048529002,8.15656e-05,4.8529003e-15,0.045
35,361.25,0.00249836,0.000110806,2.49836e-14,0.355,361.74136,0.0024356134,0.000110915,2.4356134e-14,0.32
36,160.936,0.0017562,0.000124983,1.7562e-14,0.32,162.01616,0.0017695782,0.000125819,1.7695782e-14,0.375
37,30.7189,0.000260912,4.47663e-05,2.60912e-15,0.59,31.399249,0.00025847927,4.47663e-05,2.5847928e-15,0.52
38,90.3871,0.000926904,9.32813e-05,9.26904e-15,0.01,90.439453,0.00091687295,9.32813e-05,9.1687297e-15,0.015
39,63.9584,0.000569885,6.76432e-05,5.69885e-15,0.415,67.649516,0.00060303104,6.95267e-05,6.0303105e-15,0.62
40,28.0216,0.000327055,5.39462e-05,3.27055e-15,0.87,27.770727,0.00032564511,5.34789e-05,3.2564512e-15,0.91
41,69.3367,0.000819776,9.073e-05,8.19776e-15,0.84,68.56585,0.00080333413,9.0734e-05,8.0333415e-15,0.905
42,47.7454,0.000545876,7.74418e-05,5.45876e-15,0.94,47.909344,0.000531259,7.74418e-05,5.3125901e-15,0.865
43,18.8913,0.000300352,6.94522e-05,3.00352e-15,0.19,18.110763,0.00028473427,6.95967e-05,2.8473428e-15,0.225
44,35.8029,0.000549771,9.06918e-05,5.49771e-15,0.965,35.309386,0.00054212448,9.02583e-05,5.4212449e-15,0.96
45,27.2259,0.000382289,7.19289e-05,3.82289e-15,0.73,27.338723,0.00038394567,7.20111e-05,3.8394568e-15,0.81
46,85.918,0.00130159,0.000119449,1.30159e-14,0.375,85.376561,0.0012939091,0.000118935,1.2939091e-14,0.335
47,139.602,0.00220294,0.000161574,2.20294e-14,0.01,139.38393,0.0021311302,0.000161574,2.1311302e-14,0.005
48,26.6081,0.000394696,8.13114e-05,3.94696e-15,0.835,26.856783,0.00038396697,8.16174e-05,3.8396698e-15,0.975
49,39.6319,0.000242538,3.8808e-05,2.42538e-15,0.025,40.159513,0.00024492059,3.89241e-05,2.449206e-15,0.03
50,20.5769,0.000217847,4.54366e-05,2.17847e-15,0.945,19.967984,0.00021159965,4.49515e-05,2.1159965e-15,0.985
51,22.1392,0.0005836,0.000150366,5.836e-15,0.005,22.071568,0.0005752565,0.000150366,5.7525652e-15,0.015
52,19.8277,0.000576257,0.000135896,5.76257e-15,0.14,19.99283,0.00057448301,0.000135914,5.7448302e-15,0.125
53,136.229,0.00302557,0.00034618,3.02557e-14,0.0,136.20866,0.0030250125,0.000346772,3.0250125e-14,0.0
54,69.1946,0.00155511,0.000241707,1.55511e-14,0.0,67.984053,0.0015281423,0.000241759,1.5281424e-14,0.0
55,190.087,0.0017949,0.000237659,1.7949e-14,0.0,186.91781,0.0017633663,0.000235646,1.7633663e-14,0.0
56,12309.6,0.0641298,0.000879846,6.41298e-13,0.0,12433.138,0.064806372,0.000883528,6.4806374e-13,0.0
57,4880.18,0.0273616,0.000630477,2.73616e-13,0.0,4826.7822,0.026987197,0.000627529,2.6987198e-13,0.0
